#L TT           EE
345 1.227319E-01 2.421706E-01
346 1.230101E-01 2.450374E-01
347 1.250275E-01 2.473707E-01
348 1.245367E-01 2.477460E-01
349 1.273315E-01 2.508995E-01
350 1.279179E-01 2.526881E-01
351 1.282266E-01 2.568465E-01
352 1.302531E-01 2.579438E-01
353 1.317021E-01 2.578181E-01
354 1.325228E-01 2.627413E-01
355 1.331053E-01 2.635383E-01
356 1.335266E-01 2.670436E-01
357 1.356951E-01 2.667259E-01
358 1.355173E-01 2.707680E-01
359 1.370663E-01 2.740243E-01
360 1.377083E-01 2.758951E-01
361 1.387047E-01 2.763209E-01
362 1.399850E-01 2.800226E-01
363 1.415460E-01 2.838586E-01
364 1.433362E-01 2.862379E-01
365 1.444432E-01 2.885185E-01
366 1.456768E-01 2.898849E-01
367 1.467463E-01 2.922547E-01
368 1.480327E-01 2.943032E-01
369 1.491611E-01 2.964587E-01
370 1.504162E-01 2.993250E-01
371 1.509201E-01 3.024597E-01
372 1.528632E-01 3.039045E-01
373 1.525300E-01 3.082795E-01
374 1.544298E-01 3.095424E-01
375 1.553243E-01 3.131384E-01
376 1.560619E-01 3.144791E-01
377 1.586935E-01 3.176947E-01
378 1.600364E-01 3.221636E-01
379 1.615939E-01 3.260836E-01
380 1.621513E-01 3.258831E-01
381 1.646444E-01 3.296985E-01
382 1.654214E-01 3.327989E-01
383 1.668812E-01 3.344369E-01
384 1.683157E-01 3.379098E-01
385 1.688130E-01 3.417700E-01
386 1.716034E-01 3.431366E-01
387 1.732281E-01 3.448064E-01
388 1.725718E-01 3.492735E-01
389 1.749668E-01 3.507458E-01
390 1.763803E-01 3.540097E-01
391 1.777837E-01 3.560804E-01
392 1.796177E-01 3.578850E-01
393 1.811188E-01 3.609455E-01
394 1.836665E-01 3.664008E-01
395 1.858227E-01 3.691944E-01
396 1.863232E-01 3.692814E-01
397 1.869505E-01 3.741171E-01
398 1.895338E-01 3.774971E-01
399 1.904283E-01 3.800988E-01
400 1.926336E-01 3.824191E-01
401 1.929860E-01 3.857430E-01
402 1.959994E-01 3.906777E-01
403 1.966135E-01 3.936778E-01
404 1.979933E-01 3.988684E-01
405 1.990680E-01 3.996031E-01
406 2.008800E-01 4.036259E-01
407 2.032453E-01 4.074756E-01
408 2.048044E-01 4.066569E-01
409 2.082313E-01 4.135003E-01
410 2.091910E-01 4.139049E-01
411 2.099066E-01 4.195039E-01
412 2.122618E-01 4.238663E-01
413 2.135883E-01 4.267607E-01
414 2.159320E-01 4.282807E-01
415 2.163168E-01 4.309432E-01
416 2.190204E-01 4.367371E-01
417 2.200637E-01 4.395044E-01
418 2.240614E-01 4.437694E-01
419 2.235751E-01 4.465683E-01
420 2.255724E-01 4.511480E-01
421 2.276134E-01 4.567945E-01
422 2.327821E-01 4.590563E-01
423 2.308053E-01 4.617127E-01
424 2.334502E-01 4.685466E-01
425 2.350527E-01 4.681603E-01
426 2.364536E-01 4.734577E-01
427 2.383600E-01 4.738220E-01
428 2.406105E-01 4.766613E-01
429 2.411463E-01 4.860290E-01
430 2.461197E-01 4.880354E-01
431 2.469054E-01 4.911801E-01
432 2.491451E-01 4.962482E-01
433 2.497822E-01 4.974742E-01
434 2.524386E-01 5.069572E-01
435 2.535412E-01 5.044902E-01
436 2.564970E-01 5.126811E-01
437 2.580028E-01 5.148953E-01
438 2.587138E-01 5.200877E-01
439 2.632516E-01 5.242808E-01
440 2.652273E-01 5.240859E-01
441 2.684916E-01 5.294126E-01
442 2.697100E-01 5.311978E-01
443 2.707272E-01 5.404134E-01
444 2.734859E-01 5.457889E-01
445 2.737647E-01 5.500607E-01
446 2.777752E-01 5.530707E-01
447 2.798344E-01 5.581454E-01
448 2.827148E-01 5.629905E-01
449 2.827635E-01 5.678249E-01
